User ID,Age,Gender,Height (cm),Weight (kg),Workout Type,Workout Duration (mins),Calories Burned,Heart Rate (bpm),Steps Taken,Distance (km),Workout Intensity,Sleep Hours,Water Intake (liters),Daily Calories Intake,Resting Heart Rate (bpm),VO2 Max,Body Fat (%),Mood Before Workout,Mood After Workout
16,34,Female,196,107,Cycling,18,191,87,10346,2.14,Medium,9.3,1.9,3569,88,38.4,28.5,Tired,Neutral
17,26,Other,185,74,HIIT,30,272,92,16563,4.09,Low,8.2,1.9,3241,60,38.4,28.5,Stressed,Neutral
18,19,Female,187,96,HIIT,94,855,100,1056,11.73,High,4.4,1.9,2943,80,38.4,28.5,Happy,Energized
19,20,Male,178,52,Strength,52,404,120,12065,7.99,Medium,6.7,1.9,1713,82,38.4,28.5,Tired,Energized
20,44,Female,189,62,Strength,51,821,148,13797,12.82,High,6.1,1.9,2541,68,38.4,28.5,Happy,Neutral
21,38,Other,177,54,Cycling,19,695,91,14796,13.61,High,7.5,1.9,1825,54,38.4,28.5,Neutral,Fatigued
22,24,Male,179,90,HIIT,35,221,132,19502,14.6,High,7.4,1.9,2285,68,38.4,28.5,Happy,Neutral
23,56,Other,159,107,Yoga,60,772,174,5310,10.61,Medium,9.8,1.9,2600,53,38.4,28.5,Happy,Energized
24,58,Male,199,78,Cycling,52,737,142,2065,4.74,Medium,4.1,1.9,1664,89,38.4,28.5,Stressed,Energized
25,21,Male,157,82,HIIT,14,861,175,19656,11.47,Medium,5.6,1.9,3693,51,38.4,28.5,Tired,Fatigued
26,43,Female,186,59,Yoga,90,685,157,18426,9.61,High,6.7,1.9,3150,79,38.4,28.5,Stressed,Fatigued
27,28,Female,151,110,Strength,61,629,112,8924,3.53,Low,4.3,1.9,2439,59,38.4,28.5,Happy,Energized
28,54,Female,198,69,Strength,76,344,108,17737,10.96,Low,5.3,1.9,3829,58,38.4,28.5,Stressed,Fatigued
29,40,Other,159,99,Cycling,87,850,169,8048,14.14,Low,6.9,1.9,2388,63,38.4,28.5,Neutral,Neutral
30,35,Male,188,79,Cardio,101,638,106,3022,10.91,Low,6.0,1.9,1577,63,38.4,28.5,Happy,Neutral
31,26,Other,168,86,Strength,112,791,115,17512,5.42,Low,6.1,1.9,3029,77,38.4,28.5,Stressed,Neutral
32,19,Male,160,92,Cardio,83,849,85,13746,0.64,High,5.0,1.9,2499,75,38.4,28.5,Happy,Energized
33,28,Other,157,79,Yoga,31,482,92,5434,2.21,Low,5.1,1.9,1813,52,38.4,28.5,Tired,Fatigued
34,39,Female,182,51,Cardio,37,486,127,5364,6.62,Medium,9.0,1.9,3481,57,38.4,28.5,Happy,Fatigued
35,24,Female,166,51,Cardio,16,949,127,9209,11.32,Medium,5.7,1.9,3425,81,38.4,28.5,Tired,Fatigued
36,21,Other,193,73,Cardio,27,689,173,5260,3.81,Medium,5.1,1.9,3934,67,38.4,28.5,Stressed,Fatigued
37,55,Male,170,80,Yoga,63,304,87,2483,6.72,High,5.6,1.9,3289,52,38.4,28.5,Stressed,Energized
38,42,Female,174,55,Strength,67,155,89,6613,3.51,Medium,8.8,1.9,2380,56,38.4,28.5,Neutral,Neutral
39,48,Other,156,71,Strength,15,297,109,8357,1.83,High,8.8,1.9,3350,62,38.4,28.5,Stressed,Energized
40,29,Female,192,107,Running,43,161,88,15851,11.94,Medium,8.9,1.9,2353,65,38.4,28.5,Happy,Energized
41,54,Male,197,89,Yoga,108,121,134,10133,5.13,High,5.0,1.9,3849,82,38.4,28.5,Stressed,Fatigued
42,42,Female,179,63,Yoga,101,927,128,12079,14.48,High,5.6,1.9,2626,85,38.4,28.5,Tired,Neutral
43,41,Male,176,75,HIIT,108,508,173,19400,6.89,Low,6.2,1.9,3181,81,38.4,28.5,Neutral,Energized
44,20,Other,158,58,HIIT,48,900,112,12503,6.7,High,7.5,1.9,2156,62,38.4,28.5,Happy,Neutral
45,20,Other,180,95,Cycling,86,697,155,7163,12.15,Low,4.6,1.9,2047,61,38.4,28.5,Neutral,Neutral
46,44,Female,167,113,HIIT,118,799,131,6906,1.63,Medium,7.3,1.9,3597,63,38.4,28.5,Tired,Neutral
47,56,Male,187,87,HIIT,80,872,124,3864,6.06,High,9.8,1.9,1592,54,38.4,28.5,Stressed,Fatigued
48,36,Male,170,83,Yoga,77,506,144,5052,1.45,Low,6.1,1.9,3695,67,38.4,28.5,Neutral,Fatigued
49,49,Male,195,79,Running,103,767,144,11778,0.54,Low,9.9,1.9,3600,78,38.4,28.5,Neutral,Energized
50,27,Female,198,97,Running,115,976,108,14812,13.48,High,9.4,1.9,2834,83,38.4,28.5,Neutral,Neutral
51,22,Other,164,62,Running,45,337,145,7504,12.91,Medium,4.8,1.9,1583,60,38.4,28.5,Neutral,Fatigued
52,47,Male,193,57,Running,95,765,157,9861,6.8,Medium,7.8,1.9,2154,75,38.4,28.5,Stressed,Energized
53,52,Other,194,66,Running,118,376,106,10944,8.22,Medium,5.3,1.9,2745,69,38.4,28.5,Stressed,Neutral
54,19,Other,162,65,Running,77,983,91,19207,3.67,Medium,6.2,1.9,2904,86,38.4,28.5,Neutral,Energized
55,48,Male,164,57,HIIT,100,104,115,7042,6.11,Medium,6.8,1.9,1542,71,38.4,28.5,Happy,Fatigued
56,28,Male,189,75,Cardio,79,920,97,17141,11.06,High,5.5,1.9,2783,88,38.4,28.5,Neutral,Energized
57,32,Male,195,115,Cardio,12,155,142,17869,13.25,Low,7.9,1.9,3528,64,38.4,28.5,Neutral,Energized
58,39,Female,172,95,Cycling,91,455,134,13146,8.84,Medium,7.6,1.9,3686,53,38.4,28.5,Neutral,Fatigued
59,28,Other,165,50,Cycling,38,388,132,9322,5.84,Low,5.7,1.9,2208,61,38.4,28.5,Neutral,Fatigued
60,32,Other,190,71,Cycling,10,264,136,2587,7.75,Low,5.8,1.9,3380,60,38.4,28.5,Tired,Fatigued
61,33,Other,165,67,Running,27,639,152,16715,4.83,Low,9.0,1.9,1594,64,38.4,28.5,Stressed,Neutral
62,59,Other,158,91,Running,104,896,160,16743,3.68,Low,6.6,1.9,2849,74,38.4,28.5,Stressed,Fatigued
63,43,Female,183,57,Running,50,891,138,2618,13.95,Medium,4.1,1.9,2786,85,38.4,28.5,Stressed,Neutral
64,57,Male,161,97,Yoga,98,360,167,15113,5.48,Medium,9.6,1.9,1808,81,38.4,28.5,Happy,Energized
65,20,Other,165,87,Cardio,45,247,121,11697,11.31,Medium,9.0,1.9,1677,64,38.4,28.5,Neutral,Energized
66,47,Male,189,102,Cycling,39,287,170,15095,6.55,High,4.5,1.9,3224,63,38.4,28.5,Stressed,Energized
67,51,Other,158,68,HIIT,39,255,111,3838,10.52,High,4.3,1.9,2306,87,38.4,28.5,Neutral,Energized
68,23,Other,188,78,Cardio,87,113,147,14669,13.24,Medium,9.0,1.9,3489,63,38.4,28.5,Tired,Energized
69,25,Male,160,77,Running,24,546,165,14355,14.91,Low,5.2,1.9,1941,84,38.4,28.5,Neutral,Energized
70,25,Male,165,60,Strength,53,934,93,15296,7.68,High,5.9,1.9,3684,55,38.4,28.5,Neutral,Neutral
71,53,Female,184,85,HIIT,28,321,115,2265,1.19,Low,6.3,1.9,3678,72,38.4,28.5,Happy,Energized
72,49,Female,171,88,Cycling,114,693,178,17220,11.4,Low,9.2,1.9,2255,65,38.4,28.5,Happy,Energized
73,53,Other,193,76,Yoga,36,739,128,1988,12.36,Medium,6.1,1.9,2196,83,38.4,28.5,Stressed,Neutral
74,21,Other,199,97,Cycling,55,628,113,18445,6.18,High,4.3,1.9,3656,71,38.4,28.5,Neutral,Fatigued
75,34,Other,161,54,Cycling,32,244,109,17911,3.28,Medium,6.1,1.9,1656,74,38.4,28.5,Tired,Energized
76,31,Male,151,110,Cardio,40,748,109,5366,14.93,Low,9.7,1.9,3977,59,38.4,28.5,Happy,Energized
77,20,Male,165,100,Cycling,52,447,112,4614,2.91,High,9.1,1.9,3871,51,38.4,28.5,Happy,Fatigued
78,58,Male,156,74,Cycling,95,707,179,14037,8.68,Low,8.0,1.9,3184,83,38.4,28.5,Tired,Neutral
79,38,Other,181,101,Yoga,91,445,119,5178,12.78,Low,8.9,1.9,2171,76,38.4,28.5,Neutral,Energized
80,21,Female,195,83,Yoga,54,849,131,5308,3.56,High,4.6,1.9,1547,62,38.4,28.5,Happy,Energized
81,56,Male,199,93,HIIT,19,796,170,18317,13.36,Low,4.5,1.9,1553,86,38.4,28.5,Stressed,Neutral
82,36,Other,160,117,Yoga,32,929,152,16327,7.45,Medium,6.9,1.9,2785,64,38.4,28.5,Neutral,Energized
83,59,Male,197,92,HIIT,22,472,150,15125,14.26,High,9.6,1.9,3453,87,38.4,28.5,Stressed,Neutral
84,29,Male,190,93,Strength,105,846,172,14825,1.05,Medium,5.4,1.9,2264,86,38.4,28.5,Tired,Neutral
85,34,Other,174,71,Yoga,117,524,126,18867,7.08,Medium,4.4,1.9,3265,67,38.4,28.5,Stressed,Energized
86,57,Male,179,62,Cycling,25,541,103,15743,1.77,Low,8.6,1.9,2365,82,38.4,28.5,Happy,Neutral
87,50,Female,194,57,Yoga,51,125,96,13642,11.72,High,4.5,1.9,2866,84,38.4,28.5,Neutral,Energized
88,56,Other,170,55,Yoga,57,595,88,6310,4.57,Medium,7.3,1.9,3220,77,38.4,28.5,Happy,Fatigued
89,19,Male,181,118,Running,29,927,99,5561,12.01,Low,7.4,1.9,3750,70,38.4,28.5,Happy,Neutral
90,19,Male,172,75,HIIT,80,756,90,19815,0.71,Low,5.2,1.9,3648,76,38.4,28.5,Happy,Fatigued
91,54,Male,174,60,Cardio,12,677,87,2312,12.03,Medium,8.1,1.9,3738,77,38.4,28.5,Happy,Neutral
92,36,Female,162,61,Yoga,74,662,145,16019,3.33,Medium,4.7,1.9,2216,89,38.4,28.5,Happy,Neutral
93,54,Male,178,56,Yoga,115,323,163,12757,7.86,Low,4.9,1.9,3300,61,38.4,28.5,Happy,Energized
94,38,Male,189,82,HIIT,116,631,95,13141,6.55,Low,5.6,1.9,2767,82,38.4,28.5,Neutral,Neutral
95,28,Other,167,54,Cycling,70,931,116,2658,8.21,High,9.0,1.9,2811,78,38.4,28.5,Neutral,Neutral
96,47,Female,199,83,Cycling,92,434,156,7092,2.47,Medium,7.2,1.9,2740,71,38.4,28.5,Neutral,Fatigued
97,58,Male,183,92,Cardio,101,890,97,5592,14.44,Low,8.2,1.9,3058,79,38.4,28.5,Neutral,Fatigued
98,23,Other,182,53,Yoga,100,116,168,14430,8.36,High,4.7,1.9,2356,57,38.4,28.5,Happy,Neutral
99,59,Female,167,70,Running,107,311,93,2451,3.76,Medium,7.7,1.9,2932,83,38.4,28.5,Tired,Neutral
100,36,Male,151,83,Running,73,999,104,17526,10.35,High,6.3,1.9,3050,54,38.4,28.5,Stressed,Energized
101,37,Male,190,91,Strength,60,494,107,6390,12.23,High,7.6,1.9,1795,60,38.4,28.5,Stressed,Neutral
102,40,Female,191,118,Strength,35,601,136,18797,5.37,Low,7.8,1.9,3337,74,38.4,28.5,Stressed,Fatigued
103,51,Male,154,67,Cycling,82,953,106,8433,7.65,Low,8.5,1.9,2659,54,38.4,28.5,Happy,Energized
104,26,Male,154,107,Strength,26,473,97,2809,7.77,Low,4.4,1.9,3888,50,38.4,28.5,Happy,Neutral
105,56,Female,189,104,HIIT,27,600,177,14077,10.62,Low,6.9,1.9,3507,66,38.4,28.5,Neutral,Energized
106,54,Male,171,106,Yoga,90,205,140,4391,13.71,High,7.6,1.9,1612,89,38.4,28.5,Tired,Neutral
107,50,Female,193,73,Cardio,93,948,177,13007,3.5,Medium,5.3,1.9,2130,82,38.4,28.5,Happy,Energized
108,47,Other,157,81,Cycling,83,808,102,1399,8.83,Low,9.7,1.9,3308,77,38.4,28.5,Happy,Neutral
109,34,Female,192,89,Strength,13,210,127,1232,3.72,Low,7.1,1.9,3904,55,38.4,28.5,Happy,Energized
110,24,Female,169,110,Yoga,44,388,128,10356,3.48,Medium,7.9,1.9,2552,65,38.4,28.5,Happy,Energized
111,58,Male,168,106,Cardio,48,162,80,13213,5.95,Low,6.6,1.9,3248,54,38.4,28.5,Happy,Neutral
112,22,Male,152,72,Strength,62,167,90,16226,10.39,Medium,5.5,1.9,3787,55,38.4,28.5,Tired,Neutral
113,52,Other,199,52,Yoga,98,280,90,17157,11.53,High,4.5,1.9,3425,64,38.4,28.5,Neutral,Neutral
114,49,Male,159,76,Cardio,74,980,124,11222,12.18,Low,6.4,1.9,1755,50,38.4,28.5,Neutral,Fatigued
115,39,Female,152,112,Strength,35,827,158,2472,9.82,Medium,9.7,1.9,2675,66,38.4,28.5,Stressed,Fatigued
116,21,Male,170,87,Cardio,82,118,81,1615,2.68,Medium,4.5,1.9,3320,56,38.4,28.5,Neutral,Fatigued
117,38,Other,159,62,Strength,64,952,117,12733,13.34,Low,7.4,1.9,3448,61,38.4,28.5,Neutral,Energized
118,40,Male,174,104,Running,82,395,166,5132,5.28,High,8.1,1.9,3470,60,38.4,28.5,Happy,Neutral
119,31,Female,187,111,Running,39,459,80,10189,1.45,High,7.8,1.9,2860,56,38.4,28.5,Tired,Neutral
120,38,Other,164,59,Cycling,55,735,118,13938,11.0,Medium,4.5,1.9,2028,62,38.4,28.5,Happy,Fatigued
121,40,Male,191,100,HIIT,94,758,155,19139,5.58,Medium,6.7,1.9,1690,87,38.4,28.5,Happy,Neutral
122,45,Female,179,92,Cycling,81,303,112,16139,3.3,Low,7.4,1.9,3102,84,38.4,28.5,Happy,Fatigued
123,22,Other,174,102,Cycling,119,696,105,1360,3.28,Medium,5.2,1.9,3567,62,38.4,28.5,Stressed,Neutral
124,48,Female,175,88,Cardio,74,570,94,18314,12.77,Medium,8.2,1.9,1623,85,38.4,28.5,Tired,Energized
125,35,Female,185,55,Strength,96,415,90,6433,2.07,Medium,8.3,1.9,2451,87,38.4,28.5,Happy,Energized
126,47,Other,174,97,Yoga,73,458,155,15661,8.93,Medium,4.8,1.9,2713,66,38.4,28.5,Tired,Neutral
127,52,Male,180,118,Strength,18,616,169,19928,8.96,Low,5.9,1.9,2531,73,38.4,28.5,Stressed,Energized
128,23,Female,190,116,HIIT,82,315,129,19121,9.4,Medium,7.5,1.9,3279,55,38.4,28.5,Happy,Neutral
129,24,Male,160,87,HIIT,58,737,155,12387,12.59,Medium,9.6,1.9,3284,64,38.4,28.5,Neutral,Fatigued
130,51,Female,153,101,HIIT,114,661,104,8906,14.32,Medium,5.9,1.9,3127,83,38.4,28.5,Neutral,Energized
131,42,Other,191,92,Cardio,37,275,85,5981,14.7,High,7.8,1.9,3780,75,38.4,28.5,Tired,Fatigued
132,21,Other,161,117,Running,59,351,105,1843,9.13,Medium,8.8,1.9,2086,61,38.4,28.5,Stressed,Neutral
133,39,Male,157,64,HIIT,13,697,134,18559,4.45,Low,5.3,1.9,1560,80,38.4,28.5,Neutral,Fatigued
134,20,Female,171,63,Yoga,47,629,142,10885,1.13,Low,7.2,1.9,2016,84,38.4,28.5,Neutral,Neutral
135,55,Female,159,55,Yoga,55,538,114,8489,3.44,High,4.0,1.9,3516,68,38.4,28.5,Happy,Neutral
136,52,Female,187,117,Yoga,40,469,156,11306,6.62,High,9.5,1.9,1900,79,38.4,28.5,Happy,Fatigued
137,59,Female,176,67,Cycling,16,359,161,4958,12.41,High,9.7,1.9,1937,73,38.4,28.5,Tired,Fatigued
138,23,Other,160,57,Cardio,96,470,148,10123,7.66,Low,7.5,1.9,2490,76,38.4,28.5,Neutral,Neutral
139,37,Female,170,107,Strength,54,466,115,13413,7.81,Medium,7.5,1.9,2140,76,38.4,28.5,Neutral,Fatigued
140,45,Other,189,55,Cycling,116,528,92,9949,13.74,High,4.4,1.9,3560,83,38.4,28.5,Neutral,Fatigued
141,41,Female,188,62,Running,25,420,144,5633,14.29,Medium,7.4,1.9,2877,74,38.4,28.5,Stressed,Neutral
142,56,Male,150,108,Cycling,52,432,178,4539,4.39,Medium,9.9,1.9,3091,57,38.4,28.5,Tired,Energized
143,44,Other,167,87,Strength,20,315,145,13866,14.92,High,9.0,1.9,2905,57,38.4,28.5,Happy,Neutral
144,30,Male,171,75,Yoga,113,968,169,6590,3.54,Medium,7.0,1.9,2912,82,38.4,28.5,Happy,Neutral
145,57,Female,171,75,Strength,102,922,108,12207,4.85,Low,6.1,1.9,3367,70,38.4,28.5,Happy,Neutral
146,51,Female,195,106,Cardio,14,528,98,1542,7.17,Low,4.8,1.9,1804,76,38.4,28.5,Stressed,Neutral
147,45,Male,168,83,Running,52,239,161,10805,2.28,High,8.7,1.9,2363,80,38.4,28.5,Happy,Neutral
148,58,Other,156,59,Strength,47,195,179,5264,5.23,High,9.0,1.9,1756,61,38.4,28.5,Neutral,Fatigued
149,59,Male,195,79,Cycling,77,543,120,3385,14.29,Medium,9.4,1.9,1711,81,38.4,28.5,Neutral,Neutral
150,36,Male,167,95,Yoga,68,367,110,13485,11.31,Low,6.1,1.9,2570,57,38.4,28.5,Stressed,Neutral
151,40,Other,181,83,HIIT,72,520,160,2337,12.6,Medium,6.3,1.9,2270,61,38.4,28.5,Stressed,Neutral
152,34,Female,156,57,Strength,36,464,95,5074,0.57,Low,9.7,1.9,1763,89,38.4,28.5,Happy,Fatigued
153,52,Female,198,111,Cycling,82,508,90,5978,14.44,Medium,5.1,1.9,3708,60,38.4,28.5,Neutral,Energized
154,31,Male,168,52,HIIT,91,751,153,14169,4.34,Low,6.0,1.9,2535,59,38.4,28.5,Happy,Energized
155,24,Female,187,89,Running,82,182,163,19717,9.69,Low,5.9,1.9,2419,53,38.4,28.5,Neutral,Fatigued
156,40,Other,192,60,Strength,28,469,84,8764,6.04,High,8.1,1.9,3402,76,38.4,28.5,Stressed,Neutral
157,59,Male,180,52,HIIT,26,687,134,4452,4.83,Medium,4.4,1.9,1708,73,38.4,28.5,Stressed,Fatigued
158,44,Female,185,90,Yoga,12,582,126,11159,8.19,High,9.2,1.9,3398,56,38.4,28.5,Tired,Fatigued
159,57,Other,157,118,HIIT,50,926,156,11236,9.87,High,4.3,1.9,2766,64,38.4,28.5,Tired,Fatigued
160,43,Other,161,113,Cycling,108,855,111,19882,11.43,High,6.8,1.9,1541,56,38.4,28.5,Neutral,Energized
161,20,Female,174,56,Strength,101,756,134,1529,8.97,High,4.4,1.9,1631,89,38.4,28.5,Happy,Neutral
162,50,Male,176,69,Running,13,155,179,19847,14.57,High,6.2,1.9,2113,58,38.4,28.5,Happy,Fatigued
163,40,Male,155,97,Running,51,560,84,9492,4.78,Low,9.7,1.9,3327,61,38.4,28.5,Happy,Neutral
164,57,Other,156,79,HIIT,53,375,134,12672,11.09,High,8.3,1.9,1533,66,38.4,28.5,Tired,Energized
165,52,Female,170,85,Yoga,70,451,177,14243,5.43,Low,7.6,1.9,1520,79,38.4,28.5,Happy,Neutral
166,25,Male,171,57,Yoga,111,472,80,9634,14.96,Medium,4.0,1.9,2276,71,38.4,28.5,Stressed,Fatigued
167,29,Other,177,84,Cycling,73,565,146,6079,14.2,High,6.5,1.9,3045,80,38.4,28.5,Happy,Fatigued
168,41,Female,194,101,HIIT,46,159,154,6457,7.04,High,6.1,1.9,3149,60,38.4,28.5,Stressed,Energized
169,21,Female,169,62,Running,35,942,153,4207,7.78,Medium,4.1,1.9,2222,78,38.4,28.5,Happy,Energized
170,45,Male,172,65,Yoga,20,123,155,19805,9.64,Low,8.1,1.9,2685,54,38.4,28.5,Tired,Fatigued
171,40,Other,199,91,Cardio,22,291,125,2503,13.15,Low,6.6,1.9,3526,62,38.4,28.5,Stressed,Energized
172,57,Female,155,60,Cardio,105,136,129,17887,1.67,Low,5.7,1.9,2038,55,38.4,28.5,Stressed,Neutral
173,22,Male,159,63,HIIT,111,301,160,18212,5.51,Low,8.9,1.9,1555,52,38.4,28.5,Tired,Fatigued
174,31,Other,195,53,HIIT,52,213,147,16641,4.13,Medium,4.6,1.9,3238,51,38.4,28.5,Happy,Energized
175,29,Other,167,65,Cardio,88,248,178,3302,3.57,High,4.7,1.9,3935,86,38.4,28.5,Happy,Fatigued
176,38,Female,191,79,Cycling,41,947,138,11425,2.21,High,6.8,1.9,2140,68,38.4,28.5,Tired,Neutral
177,46,Male,151,81,Cardio,89,615,177,14962,9.2,High,9.8,1.9,3023,74,38.4,28.5,Stressed,Energized
178,56,Other,190,89,Yoga,41,225,121,17825,2.37,Low,7.4,1.9,2568,52,38.4,28.5,Happy,Neutral
179,26,Female,189,103,Yoga,111,673,151,5713,10.08,High,5.1,1.9,2977,78,38.4,28.5,Tired,Neutral
180,57,Other,177,69,Yoga,24,838,111,14443,3.56,Medium,9.6,1.9,2246,70,38.4,28.5,Neutral,Energized
181,44,Male,175,115,Running,66,958,131,3136,13.48,High,4.2,1.9,3493,79,38.4,28.5,Tired,Neutral
182,36,Female,165,53,Cycling,25,857,172,11907,12.73,High,4.9,1.9,1959,87,38.4,28.5,Neutral,Energized
183,33,Male,181,89,Strength,78,608,134,12848,12.14,Low,7.4,1.9,1536,62,38.4,28.5,Stressed,Energized
184,27,Other,197,73,Strength,88,475,132,15019,5.27,Medium,9.0,1.9,2462,88,38.4,28.5,Stressed,Energized
185,57,Male,197,63,Cycling,76,562,102,1335,5.83,High,6.1,1.9,2508,50,38.4,28.5,Tired,Neutral
186,23,Other,166,89,Strength,16,734,146,15052,6.44,High,8.2,1.9,3055,79,38.4,28.5,Neutral,Fatigued
187,53,Other,170,64,HIIT,46,506,133,2042,11.83,Medium,5.4,1.9,1728,78,38.4,28.5,Happy,Fatigued
188,44,Other,168,115,Cycling,49,369,131,8758,10.1,Low,6.8,1.9,3709,55,38.4,28.5,Neutral,Neutral
189,59,Male,174,76,Yoga,53,845,87,12302,4.77,Medium,9.9,1.9,3748,53,38.4,28.5,Neutral,Neutral
190,21,Male,151,98,Yoga,79,732,115,9662,5.56,Low,4.2,1.9,3417,89,38.4,28.5,Stressed,Neutral
191,57,Other,161,90,Yoga,106,566,86,14591,7.87,High,4.6,1.9,3710,54,38.4,28.5,Tired,Fatigued
192,20,Female,165,54,Yoga,32,901,123,3140,0.66,High,8.4,1.9,3793,75,38.4,28.5,Stressed,Neutral
193,29,Other,150,85,Cardio,27,232,98,16341,13.06,Low,8.2,1.9,3091,80,38.4,28.5,Happy,Energized
194,34,Male,152,93,Yoga,71,757,139,2704,3.8,High,8.9,1.9,2247,61,38.4,28.5,Happy,Neutral
195,25,Male,152,112,Cycling,11,876,159,2245,7.92,Medium,4.9,1.9,3320,60,38.4,28.5,Happy,Fatigued
196,41,Female,161,56,Strength,98,993,137,4523,10.31,Medium,4.2,1.9,2691,58,38.4,28.5,Happy,Neutral
197,39,Male,162,56,Strength,97,751,120,12131,8.73,High,6.0,1.9,3533,76,38.4,28.5,Tired,Energized
198,32,Female,185,56,Yoga,54,827,121,4951,14.53,Low,6.1,1.9,1659,53,38.4,28.5,Tired,Neutral
199,36,Female,179,119,Strength,56,604,111,4755,9.69,Low,4.2,1.9,2195,71,38.4,28.5,Tired,Fatigued
200,29,Female,161,86,Yoga,98,884,171,1667,8.45,Low,4.0,1.9,2918,78,38.4,28.5,Tired,Neutral
201,53,Other,194,115,HIIT,85,530,106,14513,9.54,Low,7.1,1.9,2323,79,38.4,28.5,Happy,Fatigued
202,51,Female,184,106,Strength,75,507,133,12678,10.96,Medium,7.9,1.9,1927,85,38.4,28.5,Happy,Energized
203,25,Female,167,78,Cycling,112,542,135,6275,1.13,Low,7.0,1.9,2288,55,38.4,28.5,Tired,Fatigued
204,25,Other,187,115,Yoga,97,693,171,8606,0.79,Low,4.5,1.9,2501,60,38.4,28.5,Neutral,Energized
205,54,Other,175,85,Cycling,57,406,140,2731,10.71,Low,5.1,1.9,1773,82,38.4,28.5,Happy,Neutral
206,42,Male,151,112,Running,39,929,147,18690,14.02,Medium,7.1,1.9,3258,83,38.4,28.5,Happy,Neutral
207,57,Male,194,91,Strength,68,643,141,17284,7.66,High,4.9,1.9,1957,81,38.4,28.5,Stressed,Energized
208,24,Female,178,77,Yoga,18,498,179,11160,9.21,Low,8.4,1.9,3528,59,38.4,28.5,Tired,Neutral
209,26,Male,180,68,HIIT,49,937,155,16725,4.38,Medium,4.9,1.9,1659,63,38.4,28.5,Tired,Energized
210,18,Male,155,77,Yoga,59,306,150,1582,8.44,Medium,6.7,1.9,1743,72,38.4,28.5,Happy,Fatigued
211,40,Male,176,95,Cardio,76,186,137,15689,12.53,Medium,5.9,1.9,3372,63,38.4,28.5,Neutral,Neutral
212,44,Male,194,82,Strength,66,371,104,11533,1.06,Medium,7.3,1.9,3041,71,38.4,28.5,Stressed,Neutral
213,19,Female,154,101,HIIT,107,905,143,11484,11.49,Medium,8.7,1.9,2535,85,38.4,28.5,Tired,Neutral
214,55,Other,190,100,Strength,72,564,169,8791,1.18,Low,7.8,1.9,3633,67,38.4,28.5,Tired,Fatigued
215,55,Other,183,72,Cardio,26,577,82,3932,10.82,Low,5.5,1.9,2784,77,38.4,28.5,Happy,Fatigued
216,37,Female,171,97,Yoga,12,304,178,6773,8.26,Medium,6.3,1.9,2066,61,38.4,28.5,Happy,Energized
217,49,Female,181,57,Cardio,108,398,88,19970,14.99,Medium,5.4,1.9,3925,85,38.4,28.5,Stressed,Fatigued
218,37,Female,154,96,Running,57,920,96,11231,8.64,High,7.6,1.9,2810,68,38.4,28.5,Stressed,Fatigued
219,58,Male,182,76,Cardio,71,825,147,3527,13.84,High,8.3,1.9,2918,62,38.4,28.5,Happy,Fatigued
220,54,Female,161,86,Cycling,11,805,168,2027,2.67,Low,4.7,1.9,2613,65,38.4,28.5,Neutral,Neutral
